site_id (provided geohash), actual geohash, lat, lon
gcr04nc8hd99, gcr04nce8f39, 52.068942, -1.316265
gcqmqvjnvhnt, gcqmqvjnvhp4, 52.982748, -2.157216
gcq87z4wjexx, gcq87ygwx22k, 52.113392, -1.939462
gcrg7f2pgmvh, gcrg79z87h3c, 52.612218, -0.187323
gcp1k6hp9d74, gcp1k6k0e8ec, 50.857175, -1.213834
gcp1jn1dxu53, gcp1jn1301ck, 50.833922, -1.184805
gcqp9xq72y04, gcqp9xq73bh3, 53.389993, -2.737918
gcqmrpkm70wc, gcqmqzuy3dcs, 52.997762, -2.157717
gcpmpkdcfxcx, gcpmpkcpyr1z, 51.531368, -0.73444
gcxcbs16qsjb, gcxcbs085zq1, 53.767129, -0.328734
gcr9c0t37pct, gcr9c0t37pf2, 52.34187, -0.651838
gcjy57w8xw24, gcjy562hheby, 51.692755, -3.021046
gcwys2vdehyq, gcwys2ve7hng, 54.584778, -1.563354
gfjfnr90517j, gfjfnr3vh5k1, 56.642264, -2.886824
gfq81wrkh9m6, gfq81yw6gwcb, 57.692464, -2.023735
gcn77t6v1kzf, gcn77t9vptff, 51.227391, -2.3044
gcvj8vnw5kxg, gcvj8vnw5b8e, 55.839046, -4.176703
gcw44bkm1c2s, gcw44bqhjv6f, 53.791151, -2.68316
gcvjdrye7gnx, gcvjdryg2jqy, 55.853706, -4.110594
gcyb9v4m5ju9, gcyb9v4k8zv7, 54.959921, -1.677779
gcq7rwhkh4y7, gcq7rwhjgwqf, 52.636519, -2.125695
u10km17zjgf4, u10km17zjgcd, 51.380159, 0.576688
gcvj8rvvhsze, gcvj8rumpsyc, 55.854003, -4.201596
gcx194rm3sdf, gcx194wbm2b3, 53.714952, -1.352809
gcp7sycbhvmu, gcp7sydpddxp, 51.277242, -0.843084
gcvz8nbgkmcx, gcvxxyf8m3xs, 56.19924, -3.17138
gcnrj17qqq21, gcnrj1k3d4mx, 51.862606, -2.235281
gcw0hxz7bzsy, gcw0hz8tw3r6, 53.47965, -2.602795
gcpt475bndsn, gcpt475b6zhs, 51.520467, -0.598974
gcyc4gpcpxj5, gcyc4gpcpxj0, 55.03622, -1.625991
gcybgnu7mc9t, gcybgnue04dh, 55.013194, -1.619794
gcuvtxshq35s, gcuvtxsmm5gy, 55.852668, -4.322557
gcvqeq5hcn31, gcvqeqhv0d8q, 56.02016, -3.71782
gcrt128vuzvx, gcrt12d68x3q, 52.913372, -0.64508
u10k8kcrhhys, u10k8hztdryn, 51.443095, 0.361967
gcqdcfg6862x, gcqdcfuqdmbk, 52.530902, -2.026537
gcqrxpurh5mz, gcqrxpuqw8dn, 53.393301, -2.147202
gcnfjumnmwe9, gcnfjgusc9k2, 50.997984, -1.498877
gcw2ejxxbh46, gcw2em9mw146, 53.556553, -2.316138
gcmzeqkd9m6s, gcmzeqkd95dd, 53.38439, -3.015014
gcqryctqkecf, gcqryctqhgsk, 53.402844, -2.156887
gbuzrun7euzg, gbuzrun7sh8r, 50.515763, -4.220981
gcq6h75932he, gcq6h74gx6kw, 52.399906, -2.270076
gcyn242cfu45, gcvyrfpp8vqz, 55.954686, -2.813832
gcw9tdtq93sz, gcw9tejdhmbf, 53.718026, -1.859939
gcw9th344j0y, gcw9t5fxb57v, 53.72312, -1.88621
gcpw7qjdh0ys, gcpw7qjd58sc, 51.756938, -0.552593
